Division and State,All cases,All-C (ULP) cases,CA,CB,CC,CD,CE,CG,CP,All-R (Representation) cases,RC,RM,RD,UD,AC,UC
New England — Division subtotal,2628,2233,1684,465,,,,,,373,332,,,,,26
Middle Atlantic — Division subtotal,7034,4784,,,,,,,,1371,964,55,132,,,
East North Central — Division subtotal,9376,7677,5901,,,,,,,1610,1280,46,304,,,
West North Central — Division subtotal,2371,1991,,,,,,,,,,,,,,
