row_label,All C cases — Number,All C cases — Percent of total closed by method,CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CG cases — Number,CG cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
Adopting administrative law judge's decision (no exceptions filed),291,0.8,261,1.0,16,0.2,6,0.4,0,0.0,1,1.4,3,6.4,4,1.1
Withdrawal,12671,34.8,9488,35.4,2585,34.6,496,33.5,2,0.5,24,33.4,19,40.4,137,37.2
Dismissal,12419,34.1,8403,31.6,3605,48.2,265,18.0,0,0.0,24,33.3,14,29.8,108,29.5
10(k) actions (see table 7A for details of dispositions),381,1.0,0,0.0,0,0.0,0,0.0,381,96.7,0,0.0,0,0.0,0,0.0
