Division and State,Total elections,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Teamsters,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which no representative was chosen / Other local unions,Number of employees eligible to vote / Number of elections in which no representative was chosen,Total valid votes cast / Number of employees eligible to vote,Valid votes cast for unions / Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Teamsters,Valid votes cast for unions / Other national unions,Eligible employees in units choosing representation / Other local unions,Eligible employees in units choosing representation
New England,423,260,172,42,39,7,163,31054,26171,15520,9678,3004,1209,1661,13724
Middle Atlantic,1120,651,320,163,112,56,469,122445,101116,71775,40684,13794,8832,16030,64733
East North Central,1760,982,546,230,166,40,778,117474,104437,58463,32672,6605,15380,3806,45974
West North Central,771,468,258,126,67,17,303,,29560,,,,,,
