Types of formal actions taken,Cases on which formal actions taken,Total formal actions taken,Formal actions taken by type of case / CA,Formal actions taken by type of case / CB,Formal actions taken by type of case / CC,Formal actions taken by type of case / Jurisdictional disputes,Formal actions taken by type of case / Unfair labor practices,Formal actions taken by type of case / CE,Formal actions taken by type of case / CG,Formal actions taken by type of case / CP,Formal actions taken by type of case / CA combined with CB,Formal actions taken by type of case / C combined with representation cases,Other C combinations
10(k) notices of hearings issued,71,,,,,60,,,,,,,
Complaints issued,5901,5711,4672,497,211,,23,11,2,80,103,98,14
Backpay specifications issued,143,128,115,14,0,,0,0,0,0,,,
"Hearings completed, total",1311,1236,1090,16,36,37,0,16,0,8,28,25,2
Initial ULP hearings,1270,1219,1061,16,36,37,0,16,0,8,28,25,2
Backpay hearings,15,13,13,0,0,,0,0,0,0,0,0,0
Other hearings,26,,,,,,,,,,,,
"Decisions by administrative law judges, total",1340,1255,1129,85,7,,0,5,5,8,4,1,11
Initial ULP decisions,1291,1213,1098,82,7,,0,5,5,8,4,1,11
Backpay decisions,21,15,14,1,0,,0,0,0,0,0,0,0
Supplemental decisions,28,27,17,2,0,,0,0,0,0,0,0,0
"Decisions and orders by the Board, total",1753,1596,1337,106,40,52,6,8,3,13,14,8,9
Upon consent of parties,,,,,,,,,,,,,
Initial ULP decisions,259,226,126,35,16,,4,4,0,4,2,2,0
Supplemental decisions,,,,,,,,,,,,,
Adopting administrative law judges' decisions (no exceptions filed),407,360,341,10,3,,0,0,0,2,2,2,0
Initial ULP decisions (adopting),,,,,,,,,,,,,
Backpay decisions (adopting),4,3,3,0,0,,0,0,0,0,0,0,0
Contested,,,,,,,,,,,,,
Initial ULP decisions (contested),990,963,814,51,21,52,2,4,3,5,9,4,5
Decisions based on stipulated record,29,23,21,1,0,,0,0,0,1,0,0,0
Supplemental ULP decisions,,,,,,,,,,,,,
Backpay decisions (contested),22,21,20,1,0,,0,0,0,0,0,0,0
