row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Total,93,15,8,4,66,"6, Ill",5350
Manufacturing,65,12,7,' 3,43,4853,4227
- Food and kindred products,12,5,0,0,7,327,290
Textile-mill products Apparel and other finished prod-,1,0,1,0,0,298,279
ucts made from fabric and sim- ilar materials,2,1,0,0,I,231,208
Lumber and wood products,5,1,2,0,2,966,760
Furniture and fixtures,1,0,1,o,0,13,13
Paper and allied products,2,0,0,0,2,25,24
Chemicals and allied products,3,o,1,0,2,77,66
Products of petroleum and coal,3,0,1,0,2,84,76
Rubber products,1,0,0,1,0,62,60
Leather and leather products,1,0,0,0,1,6,6
"Stone, clay, and glass products__",7,2,o,o,5,569,508
Primary metal industries,4,0,1,0,3,136,127
Fabricated metal products (ex- cept machinery and transporta- tion equipment),5,1,0,0,4,172,157
Machinery (except electrical),2,0,0,o,2,46,40
"Electrical machinery, equipment, and supplies",5,0,0,2,3,1188,1052
Transportation equipment,6,1,o,o,5,364,309
Aircraft and parts,1,1,0,o,o,76,70
Ship and boat building and re- pairing,1,o,o,o,1,114,75
Automotive and other trans- portation equipment,4,o,o,o,4,174,164
"Professional, scientific, and con- trolling instruments",1,o,o,o,1,25,25
Miscellaneous manufacturing,4,1,o,0,3,264,227
Coal mining Nonmetal mining and quari ying,1 1,0 o,0 o,0 o,1 1,21 9,16 9
Wholesale trade Retail trade,,,0,0,,197,184
,10 4,0 0,1,0,10 3,242,194
"Transportation, communication, and other public utilities",9,2,o,1,6,582,
Highway passenger transporta- tion,4,1,0,0,3,,524
,,,,,,449,419
Other transportation,1,0,o,o,1,11,11
Communication,2,1,o,1,0,28,27
"Heat, light, power, water, and sanitary services",2,o,o,o,2,94,67
Services,3,1,o,o,2,207,196
