Participating unions,Total valid votes cast,Valid votes cast in elections won — Total,Valid votes cast in elections won — Votes for unions — AFL-CIO unions,Valid votes cast in elections won — Votes for unions — Teamsters,Valid votes cast in elections won — Votes for unions — Other national unions,Valid votes cast in elections won — Votes for unions — Other local unions,Valid votes cast in elections won — Votes for no union,Valid votes cast in elections lost — Total,Valid votes cast in elections lost — Votes for unions — AFL-CIO unions,Valid votes cast in elections lost — Votes for unions — Teamsters,Valid votes cast in elections lost — Votes for unions — Other national unions,Valid votes cast in elections lost — Votes for unions — Other local unions,Valid votes cast in elections lost — Votes for no union
Section C — AFL-CIO (1-union RM),3071,357,357,,,,159,647,647,,,,1908
Section C — 1-union RM elections — subtotal,4640,849,357,395,7,90,349,858,647,147,0,64,2584
Section C — 2-union RM elections — subtotal,579,545,453,13,2,7,75,5,,,,5,0
Section C — Total RM elections,5225,1400,818,408,9,165,383,858,647,147,0,64,2584
Section D — AFL-CIO (1-union RD),24765,5785,5785,,,,3080,4962,4962,,,,10938
Section D — Teamsters (1-union RD),5622,1217,,1217,,,676,975,,975,,,2754
Section D — 1-union RD elections — subtotal,32610,7560,5785,1217,151,414,4052,6427,4962,975,64,426,14624
Section D — 2-union RD,,,,,,,,,,,,,
