row_label,Industrial group,All cases,Unfair labor practice cases — All C cases,CA,CB,CC,CD,CE,CG,CP,Representation cases — All R cases,RC,RM,RD,Union deauthorization cases — UD,Amendment of certification cases — AC,Unit clarification cases — UC
"Museums, art galleries, and botanical and zoological gardens",18,16,9,0,0,4,2,0,0,1,2,1,0,0,0,0,0
Social services,260,167,150,17,0,0,0,0,0,0,83,72,5,6,0,0,8
Miscellaneous services,111,87,71,14,1,0,0,0,0,1,23,15,2,9,0,0,1
Services (subtotal — all SIC service industries),8680,6686,5145,1297,119,27,10,39,49,,1793,1367,94,332,37,7,157
Public administration,219,159,98,58,0,0,0,0,0,0,56,51,1,4,1,0,1
"Total, all industrial groups",49436,40634,28995,8973,1676,414,74,39,463,,8078,5410,764,1904,241,38,445
