row_label,col_1,col_2
Total number of cases closed before issuance of complaint ..,234,
Agreement of the parties-informal settlement,95,40.4
Before 10(k) notice,76,32.4
"After 10(k) nodce, before opening of 10(k) hearing",18,7.6
"PUte After opening of 10(k) hearing, before issuance of Board decision and determination of dis-",1,0.4
Compliance with Board decision and determination of dispute,1,0.4
Withdrawal,92,39.2
Before 10(k) notice,67,28.6
"After 10(k) notice, before opening of 10(k) hearing",15,6.4
"After opening of 10(k) hearing, before issuance of Board decision and determination of dis- pute",6,2.5
After Board decision and determination of dispute,4,1.7
Dismissal,46,20.0
Before 10(k) notice,36,15.3
"After 10(k) notice, before opening of 10(k) hearing",4,1.7
"After opening of 10(k) hearing, before issuance of Board decision and determination of dis- pute",,
By Board decision and determination of dispute,6,2.6
