row_label,col_1
1-R-2715,Gillette Safety Razor Co.
1-R-2721,Gillette Safety Razor Co.
1-11-3102,Gilt Edge Silk Mill.
19-R-1670,Giustina Bros. Lumber Co.
16-R-1394,Gladewater Refining Co.
6-R-1240,Globe Brick Co.
13-R-3362,"Goldblatt Bros., Inc."
9-R-2038,Goldsmith Metal Lath Co..
8-11-1874,"_Goodrich, B. F., Co."
8-R-1947,"Goodrich, B: F., Co."
9-R-2013,"Goodrich, B. F., Co."
16-R-1444,"Goodrich, B. F., Co. ."
16-R-1402,Goodyear Synthetic Rubber Corp.
17-11-1171,Goodyear Tire &Rubber Co.
18-11-1466,Gordon-Van Tine Co.
2-11-5922,Gould &Eberhardt Co.
21-11-3351,Grand Central Airport Co.
14-11-1233,Granite City Steel Co.
5-R-1895,"Great Atlantic &Pacific Tea Co., The."
,Great Lakes Pipe Line Co.
17-R-1161,Great Northern Icing Co.
19-R-1681,
13-11-3528,Green Drop Forge Co.
10-R-1771 7-11-2135,"Greenville Milling Co. Greyhound Terminal, Detroit, Inc."
16-R-1487,Griffin Grocery Co.
,Paper Co.
1-R-2614,Groveton
5-R-2292,"Guilford Hoisery Mills, Inc."
16-11-1431,Gulf Oil Corp. Gulf Refining Co.
9-R-2034 15-R-1488,Gulf Refining Co.
10-R-1644,Gulf States Paper Corp.
,"Gunite Foundries Corp. Gwaltney, P. D., Jr., Co.,"
13-11-3134 5-11-2256,
6-R-1275 14-R-1294,"Inc. Haller, W. A., Co., Inc. Hamilton-Sheu &Walsh Shoe Co."
4-11-1647 2-R-5699,"Hannah Pickett Mills, Plant Chemical &Mfg. Co. Hanset Lumber Co."
3-11-1075,"Hammond Irving, Inc. Hancock, John, Mutual Life No."
,Insurance 2 Hanovia
5-R-2304,
19-11-1689,Corp.
13-R-3154,Harnischfeger Harrisburg Steel Corp.
4-11-1752 1-11--2593,"Harris, Emery Co., Inc."
8-R-1851 9-R-1951,"Harris-Seybold, Potter Co. Potter Co."
10-11-1518,"Harris-Seybold, Hartsvrlle Print &Dye Works."
,"Hartzell Industries, Inc."
8-R-1988,Corp. .of America.
2-R-5879,Hat Hattiesburg Compress Co.
,Havana Metal Wheel Co.
15-11-1566 13-11-3199,"Hawthorne Tanners, Inc."
1-R-2678,
1-11-2487,"Haydon Mfg. Co., Inc. Heath, L. S., &Son"
14-R-1432,"Heinsheimer Bro., Inc."
2-R-6361 3-11-1200,"&Allen, Inc. Motors Corp."
,Henry Hercules
,Machine
8-11-1904 4-R-2055,"Co Hershey Metal Products,"
1-11-2661,Hershey &Foundry Inc. Heyden Chemical Corp.
4-11-1762,"Higgins Industries, Inc. High &Chair"
15-11-1457 5-R-2019,"Point Bending Co. Hill, C. V, &Co.. Inc."
4-11-1809,Inc.
13-11-3636,
,Valley Mfg. Co.
,"Hillman's,"
9-11-2042,
,Hoöking Holeproof Hosiery Co.
10-11-1680,
