Participating unions,Total elections,Elections won by unions / Percent won,Elections won by unions / Total won,Elections won by unions / AFL-CIO unions,Elections won by unions / Teamsters,Elections won by unions / Other national unions,Elections in which no representative chosen / Other local unions,Employees eligible to vote,Employees eligible to vote / Total,Employees eligible to vote / In elections won by,Employees eligible to vote / In units won by / AFL-CIO unions,Employees eligible to vote / In units won by / Teamsters,Employees eligible to vote / In units won by / Other national unions,In elections where no representative chosen / In units won by / Other local unions,col_15
C. Elections in RM cases,,,,,,,,,,,,,,,
AFL-CIO,180,17.0,51,51,,,,129,6836,2202,2202,,,,4634
Teamsters,109,26.6,29,,29,,,80,2121,361,,361,,,1760
Other national unions,17,29.4,5,,,5,,12,788,113,,,113,,675
Other local unions,7,42.9,3,,,,3,4,121,89,,,,89,32
1-union elections (RM),313,27.5,86,51,29,3,3,227,9866,2765,2202,361,113,89,7101
RM,,,,,,,,,,,,,,,
2-union elections (RM),18,77.8,14,7,4,,3,4,916,779,358,267,,154,137
AFL-CIO v. AFL-CIO v. local,1,100.0,1,1,,,,0,745,745,745,,,,0
3 (or more)-union elections (RM),1,100.0,1,1,,,,0,745,745,745,,,,0
Total RM elections,332,30.4,101,59,33,3,6,231,11527,4289,3305,628,113,243,7238
