Affiliation of union holding union-shop contract,Number of polls Total,Resulting in deauthorization Number,Resulting in deauthorization Percent of total,Resulting in continued authorization Number,Resulting in continued authorization Percent of total,Employees Total eligible,Resulting in deauthorization Number,Resulting in deauthorization Percent of total,Resulting in continued authorization Number,Resulting in continued authorization Percent of total,Valid votes cast Total,Valid votes cast Percent of total eligible,Cast for deauthorization Number,Cast for deauthorization Percent of total eligible
Total,67,45,67.2,22,32.8,5019,2841,56.6,2178,43.4,3689,73.5,2267,45.2
AFL-CIO unions,47,31,66.0,16,34.0,3924,1912,48.7,2012,51.3,2838,72.3,1527,38.9
Teamsters,13,8,61.5,5,38.5,391,193,49.4,198,50.6,235,60.1,176,45.0
Other national unions,4,3,75.0,1,25.0,678,510,75.2,168,24.8,476,70.2,424,62.5
Other local unions,3,3,100.0,0,0,226,226,100.0,0,0,140,61.9,140,61.9
