row_label,Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Individuals,Employers
CA cases,,,,,,,
"Pending October 1, 1978",12957,6066,1504,551,422,4377,37
Received fiscal 1979,29026,12036,3144,912,688,12156,90
On docket fiscal 1979,41983,18102,4648,1463,1110,16543,127
Closed fiscal 1979,28770,11714,3125,910,691,12240,90
"Pending September 30, 1979",13213,6388,1523,553,419,4293,37
CB cases,,,,,,,
"Pending October 1, 1978",2695,30,7,6,17,1952,683
Received fiscal 1979,9157,79,9,3,34,7487,1545
On docket fiscal 1979,11852,109,16,9,51,9439,2228
Closed fiscal 1979,9510,79,9,6,38,7841,1558
"Pending September 30, 1979",2342,30,7,3,13,1596,670
CC cases,,,,,,,
"Pending October 1, 1978",784,1,0,2,44,25,712
Received fiscal 1979,1947,10,5,14,75,16,1812
On docket fiscal 1979,2731,12,2,16,119,41,2524
Closed fiscal 1979,2001,11,1,17,16,31,1855
"Pending September 30, 1979",730,1,4,1,29,26,699
CD cases,,,,,,,
"Pending October 1, 1978",170,8,0,2,1,1,158
Received fiscal 1979,421,4,0,1,8,12,396
On docket fiscal 1979,591,12,0,3,9,13,554
Closed fiscal 1979,484,11,0,8,9,6,450
"Pending September 30, 1979",107,1,0,0,0,2,104
CE cases,,,,,,,
"Pending October 1, 1978",154,1,0,0,32,6,115
Received fiscal 1979,128,3,0,0,6,3,116
On docket fiscal 1979,282,4,0,0,38,9,231
Closed fiscal 1979,159,3,0,0,12,6,138
"Pending September 30, 1979",123,1,0,0,26,3,93
CG cases,,,,,,,
"Pending October 1, 1978",27,0,0,1,0,0,26
Received fiscal 1979,50,1,0,0,0,0,49
On docket fiscal 1979,77,1,0,1,0,0,75
Closed fiscal 1979,44,0,0,0,0,0,44
"Pending September 30, 1979",33,1,0,1,0,0,31
CP cases,,,,,,,
"Pending October 1, 1978",155,0,0,1,1,2,151
Received fiscal 1979,530,1,0,1,12,5,511
On docket fiscal 1979,685,1,0,2,13,8,661
Closed fiscal 1979,576,1,0,0,8,32,633
"Pending September 30, 1979",109,0,0,0,5,31,102
