row_label,col_1,col_2
I.,Applications for fees and expenses filed with the NLRB under 5 U.S.C. § 504: A. Number of applicationsfiled…………………………………………………………………………,2
,B. Decisions in EAJA cases ruled on (includes ALJ awards adopted by the Board and settlements): Grantingfees………………………………………………………………………………………,0
,Denyingfees………………………………………………………………………………………,2
,"C. Amount of fees and expenses in cases listed in B, above: Claimed……………………………………………………………………………………………",58785.33
,Recovered…………………………………………………………………………………………,0.00
II.,Petitions for review of Board Orders denying fees under 5 U.S.C. § 504: A. Awards granting fees (includessettlements)…………………………………………………………,0
,B.Awardsdenyingfees………………………………………………………………………………….,0
,C. Amount of fees and expenses recovered pursuant to court award or settlement (includes fees recovered in cases in which court finds merit to claim but remands to Board for determination of feeamount)…………………………………………………………………………………………..,0.00
III.,Applications for fees and expenses before the circuit courts of appeals under 5 U.S.C. § 2412 A. Awards granting fees (includessettlements)………………………………………………………….,2
,B.Awardsdenyingfees………………………………………………………………………………….,0
,C. Amount of fees and expensesrecovered……………………………………………………………..,20516.30
IV.,Applications for fees and expenses before the district courts under 5 U.S.C. § 2412: A. Awards granting fees (includessettlements)…………………………………………………………,2
,B.Awardsdenyingfees………………………………………………………………………………….,0
