Method and stage of disposition,AC,UC
"Total, all",30,315
Certification amended or unit clarified,8,60
Certification amended or unit clarified — Before hearing,0,0
Certification amended or unit clarified — Before hearing — By Regional Director's decision,0,0
Certification amended or unit clarified — Before hearing — By Board decision,0,0
Certification amended or unit clarified — After hearing,8,60
Certification amended or unit clarified — After hearing — By Regional Director's decision,8,60
Certification amended or unit clarified — After hearing — By Board decision,0,0
Dismissed,10,80
Dismissed — Before hearing,3,14
Dismissed — Before hearing — By Regional Director's decision,3,14
Dismissed — Before hearing — By Board decision,0,0
Dismissed — After hearing,7,66
Dismissed — After hearing — By Regional Director's decision,6,66
Dismissed — After hearing — By Board decision,1,0
Withdrawn,12,175
Withdrawn — Before hearing,12,175
Withdrawn — After hearing,0,0
