row_label,Division and State,All cases,Under labor practices cases — All,Under labor practices cases — CA,Under labor practices cases — CB,Under labor practices cases — CC,Under labor practices cases — CD,Under labor practices cases — CE,Under labor practices cases — CG,Under labor practices cases — CP,Representation cases — All,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization cases — UD,Amendment of certification cases — AC,Unit clarification cases — UC
District of Columbia,344,207,162,43,0,0,0,0,2,137,76,1,60,0,0,0,
South Atlantic (subtotal — Delaware/Maryland/DC/Virginia/West Virginia/North Carolina/South Carolina/Georgia/Florida),4400,3376,2696,583,66,13,0,1,17,622,519,39,64,91,7,26,
East South Central (subtotal — Kentucky/Tennessee/Alabama/Mississippi),2131,1733,1466,232,19,6,0,0,10,377,301,12,64,5,1,15,
West South Central (subtotal — Arkansas/Louisiana/Oklahoma/Texas),3193,2556,,,,,,,,,,,,,,,
Mountain (subtotal — Montana/Idaho/Wyoming/Colorado/New Mexico/Arizona/Utah/Nevada),1107,869,,,,,,,,,,,,,,,
