Division and State,Number of elections / Total,Number of elections / In which representation rights were won by — A F L affiliates,Number of elections / In which representation rights were won by — C I O affiliates,Number of elections / In which representation rights were won by — Unaffiliated unions,Number of elections / In which no representative was chosen,Employees eligible to vote,Total valid votes cast,Valid votes cast for — / A F L affiliates,Valid votes cast for — / C I O affiliates,Valid votes cast for — / Unaffiliated unions,Valid votes cast for — / No union,Employees in units choosing no representation
New England,437,195,76,36,130,67110,56584,12146,19808,9560,10653,45736
Maine,34,19,0,0,15,2818,2253,1022,0,305,826,1308
New Hampshire,5,1,1,0,3,1746,1531,337,530,0,664,1142
Vermont,18,8,4,1,4,,1156,,,,,
Massachusetts,234,101,50,24,59,36830,30891,6822,13485,6003,5610,24229
Rhode Island,45,24,9,4,9,4109,3702,1609,122,614,1193,
Connecticut,96,37,12,7,40,15159,11049,2219,4712,1991,2038,
Middle Atlantic,1349,692,295,138,324,178830,155565,43309,45265,33508,33381,141271
New York,692,369,134,55,134,85881,78453,25653,18059,23000,14194,70381
New Jersey,293,130,92,38,63,44070,32418,7038,12371,4098,6153,36754
Pennsylvania,364,193,69,45,127,48879,44694,10618,14835,6410,13034,33136
East North Central,1629,627,428,114,460,200796,178749,44227,39178,33103,45656,147153
Ohio,432,137,129,44,142,61320,54876,10278,12545,7932,12623,43841
Indiana,226,100,46,12,66,20041,18108,6818,7952,2617,5453,16094
Illinois,391,184,61,20,126,47300,41994,10127,7953,8103,15765,37576
Michigan,347,92,131,26,98,36244,30707,5927,13304,3237,11576,20000
Wisconsin,213,114,34,12,53,21891,20064,5089,7424,2200,5361,19000
West North Central,695,408,99,25,163,75453,63684,23059,12799,5116,13239,64150
Iowa,74,37,12,2,23,9944,8759,2355,2329,645,3499,4704
Minnesota,130,71,29,3,26,10403,8759,2309,1884,315,1750,8200
Missouri,364,194,27,12,98,33182,28565,8793,4704,2789,5257,30400
North Dakota,27,13,1,0,12,490,404,143,5,0,256,318
South Dakota,20,8,3,1,8,1213,1058,243,263,153,359,
Nebraska,8,30,3,0,3,2000,1816,549,210,,606,
Kansas,82,30,16,7,0,10221,9323,3243,3491,1030,1559,
