Size of unit (number of employees),Number eligible to vote,Total elections — Number,Total elections — Percent of total,Elections in which representation rights were won by unions — Cumulative percent of total,AFL-CIO unions — Number,AFL-CIO unions — Percent by size class,Teamsters — Number,Teamsters — Percent by size class,Other national unions — Number,Other national unions — Percent by size class,Other local unions — Number,Other local unions — Percent by size class,Elections in which no representative was chosen — Number,Elections in which no representative was chosen — Percent by size class
Total RD elections,37616,875,100.0,100.0,137,34.9,42,100.0,5,100.0,22,100.0,669,100.0
Under 10 employees,1876,277,31.7,31.7,31,22.6,8,19.0,2,40.0,8,36.4,228,34.1
10-19 employees,2648,197,22.5,54.2,33,24.1,12,28.6,0,0.0,5,22.7,147,22.0
Size-of-unit RD,,,,,,,,,,,,,,
