Participating unions,Total valid votes cast,Valid votes cast in elections won — Total,Valid votes cast in elections won — Votes for unions — AFL-CIO,Valid votes cast in elections won — Votes for unions — Teamsters,Valid votes cast in elections won — Votes for unions — Other national,Valid votes cast in elections won — Votes for unions — Other local,Valid votes cast in elections won — Total votes for no union,Valid votes cast in elections lost — Total,Valid votes cast in elections lost — Votes for unions — AFL-CIO,Valid votes cast in elections lost — Votes for unions — Teamsters,Valid votes cast in elections lost — Votes for unions — Other national,Valid votes cast in elections lost — Votes for unions — Other local,Valid votes cast in elections lost — Total votes for no union
Local v. local (2-union RD),252,239,,,,239,13,0,,,,,0
2-union elections (RD) — Total,3078,2844,1232,927,15,670,129,42,42,0,0,0,63
AFL-CIO v. AFL-CIO v. local (3-union RD),255,253,31,,,222,0,0,,,,,2
AFL-CIO v. Teamsters v. Teamsters (3-union RD),27,27,8,19,,,0,0,,,,,0
AFL-CIO v. national v. local (3-union RD),17,11,11,,0,,0,0,,,,,6
3-or-more-union elections (RD) — Total,299,291,50,19,0,222,8,0,0,0,0,0,8
Total RD elections,17112,6685,4090,1435,244,916,1871,2525,1961,377,172,15,6031
