Division and State,Total elections,Number of elections in which representation rights were won by — AFL-CIO affiliates,Number of elections in which representation rights were won by — Unaffiliated unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for — AFL-CIO affiliates,Valid votes cast for — Unaffiliated unions,Valid votes cast for — No union,Employees in units choosing representation
Total,7355,2708,1597,3050,536047,482558,197038,102509,183011,305976
New England — total,400,125,102,173,54751,45614,15678,15846,17090,30977
Middle Atlantic — total,1361,472,358,531,90738,87073,38831,19708,29036,60823
East North Central — total,1796,703,238,855,115104,115104,44272,21174,39658,70443
West North Central — total,627,238,138,251,31909,29010,13384,5710,9856,19886
South Atlantic — total,827,279,155,393,70491,64445,24996,7716,31833,37161
East South Central — total,347,101,78,168,28342,26097,9424,4144,12529,12328
West South Central — total,506,160,81,265,43135,39635,16830,5659,16886,21636
Mountain — total,324,123,72,129,22286,19510,9689,3394,6277,13772
Pacific — total,932,389,162,381,48851,42945,18938,6002,17008,26506
Outlying areas — total,235,120,32,83,12250,10940,5696,2028,3216,9217
