Industrial group,Total elections,Number of elections in which representation rights were won by unions / Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Total votes for no union,Eligible employees in elections choosing representation
Mining,18,9,4,2,3,,9,1084,1015,518,188,33,234,63,497,
Construction,53,17,9,5,2,1,36,1909,1744,774,400,260,83,31,970,533
"Transportation, communication, and other utilities",294,135,76,37,11,,159,18900,12432,8070,4499,1612,31,2018,4362,8137
Services,402,218,120,55,34,15,184,27090,22542,11450,7757,823,266,2564,11002,13389
"Total, all industrial groups",2277,1037,604,259,48,,1240,144042,126162,63277,38558,10463,5323,8666,62885,57345
