Division and State,Total elections,Number of elections in which representation chosen — Total,AFL-CIO,Teamsters,Other national,Other local,Number of elections in which no representation chosen,Total valid votes cast,Valid votes cast in elections won — Total,AFL-CIO,Teamsters,Other national,Other local,Votes for no union,Total eligible voters
New England — Massachusetts,71,26,19,5,0,2,45,4020,,,,,,,1176
New England TOTAL,127,53,,,,,74,,,,,,,,
Middle Atlantic — New York,264,131,75,38,,,133,11144,,,,,,,5191
Middle Atlantic — Pennsylvania,218,108,59,34,,,,11040,,,,,,,3884
Middle Atlantic TOTAL,603,322,184,83,19,36,274,28774,9990,,,,,,13793
East North Central — Illinois,184,86,,,,,,,,,,,,,5797
East North Central TOTAL,568,232,,,,,,,,,,,,,16599
West North Central TOTAL,247,105,,,,,,,,,,,,,5710
