Year and month,Number of cases brought before Board (1),Number of strikes — For all causes (2),Number of strikes — For organization (3),Ratio of Board cases to strikes — Percent for all causes [(1) over (2)],Ratio of Board cases to strikes — Percent for organization [(1) over (3)]
1935 — October,203,169,79,120,257
1935 — November,153,119,48,129,319
1935 — December,110,80,34,138,324
1936 — Total,1301,1951,971,67,134
1937 — Total,9424,4270,2412,221,391
1938 — Total,7990,2180,1063,367,752
1939 — January,674,148,66,455,1021
