row_label,Disposition outcome,Number
Granted,Granted,118
Denied,Denied,9
Withdrawn,Withdrawn,14
Dismissed,Dismissed,19
Settled or placed on courts' inactive docket,Settled or placed on courts' inactive docket,103
Awaiting action at end of the fiscal year,Awaiting action at end of the fiscal year,6
