Method and stage of disposition,All C cases — Number,All C cases — Percent of total closed,All C cases — Percent of total method,CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CG cases — Number,CG cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
Administrative law judge's decision (Compliance),43,0.1,4.4,37,0.1,5,0.1,0,0,0,0,0,0,0,0,1,
Board decision (Compliance),640,1.7,65.4,546,1.9,64,0.7,16,1.1,5,1.3,1,1.1,1,2.5,7,2.0
Adopting administrative law judge's decision (no exceptions filed),353,0.9,36.1,291,1.0,39,0.4,10,0.7,1,,1,1.1,1,2.5,7,2.0
Contested (Board decision compliance),286,0.8,29.2,248,0.9,19,0.2,6,0.4,4,,0,0,1,1.7,0,0
Circuit court of appeals decree,9,0.0,0.9,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Supreme Court action,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Withdrawal,13837,36.4,100.0,9499,34.5,3089,37.1,543,38.2,2,,30,33.3,11,27.5,164,47.8
Withdrawal — Before issuance of complaint,12707,33.4,91.8,8971,32.6,3002,36.0,530,27.3,2,,29,32.2,11,27.5,164,47.8
Dismissal,12725,33.5,100.0,8564,31.1,3818,45.8,234,16.4,22,,22,24.4,9,22.5,78,22.7
