row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Real Estate and Rental and Leasing.....,49,24,24,0,0,25,1152,1012,460,460,0,0,552,350
"Professional, Scientific and Technical Services.....................................................",36,25,22,2,1,11,1946,1822,832,808,5,19,990,672
Management of Companies and Enterprises.................................................,5,4,4,0,0,1,247,190,147,147,0,0,43,242
Administrative and Support Services........,107,82,45,20,17,25,3431,2816,1837,862,542,433,979,2129
Waste Management and Remediation Services.....................................................,98,44,40,1,3,54,4558,4077,1990,1774,0,216,2087,1806
"Administrative and Support, Waste Management and Remediation Services...",205,126,85,21,20,79,7989,6893,3827,2636,542,649,3066,3935
Educational Services............................,51,39,30,6,3,12,4399,3527,2188,1908,77,203,1339,3764
Ambulatory Health Care Services.............,65,34,28,2,4,31,7875,5005,2953,2625,292,36,2052,4685
Hospitals....................................................,178,102,77,10,15,76,30000,25147,12865,9536,1661,1668,12282,14152
Nursing and Residential Care Facilities....,203,132,120,8,4,71,14781,11863,6725,6277,162,286,5138,9061
Social Assistance.......................................,50,38,35,2,1,12,4200,3081,1925,1876,31,18,1156,3007
Health Care and Social Assistance.......,496,306,260,22,24,190,56856,45096,24468,20314,2146,2008,20628,30905
"Performing Arts, Spectator Sports and Related Industries......................................",23,16,14,1,1,7,642,496,326,281,41,4,170,492
"Museums, Historical Sites and Similar Institutions.................................................",4,4,4,0,0,0,35,34,34,34,0,0,0,35
"Amusement, Gambling and Recreation Industries...................................................",25,9,7,1,1,16,1850,1608,661,467,43,151,947,611
"Arts, Entertainment and Recreation.....",52,29,25,2,2,23,2527,2138,1021,782,84,155,1117,1138
Accommodation........................................,73,34,34,0,0,39,5843,5086,1971,1793,178,0,3115,1755
Foodservices and Drinking Places............,40,26,22,3,1,14,3354,2445,1598,1242,328,28,847,2679
Accommodation and Foodservices......,113,60,56,3,1,53,9197,7531,3569,3035,506,28,3962,4434
