Participating unions,Total elections,Percent won by unions,Elections won by unions — Total,Elections won by unions — AFL-CIO unions,Elections won by unions — Teamsters,Elections won by unions — Other national unions,Elections won by unions — Other local unions,Elections in which no representative chosen,Employees eligible to vote — Total,Employees eligible to vote — In elections won by union,Employees eligible to vote — In units won by AFL-CIO,Employees eligible to vote — In units won by Teamsters,Employees eligible to vote — In units won by Other national,Employees eligible to vote — In units won by Other local,Employees eligible to vote — In elections no representative chosen
Three-or-more union elections,,,,,,,,,,,,,,,
