Type of election or cross check,Elections and cross checks / Number,Elections and cross checks / Percent,Eligible voters / Number,Eligible voters / Percent,Valid votes / Number,Valid votes / Percent
Total,5589,100.0,846431,100.0,698812,100.0
Consent,3796,67.9,441173,52.1,362714,51.9
Consent — Elections,3218,57.6,412806,48.8,342303,49.0
Consent — Cross checks,578,10.3,28367,3.3,20411,2.9
Stipulated,467,8.4,110855,13.1,93171,13.4
Stipulated — Elections,461,8.3,110585,13.1,92950,13.4
Stipulated — Cross checks,6,0.1,270,,221,
Prehearing elections,163,2.9,16658,2.0,14224,2.0
Ordered elections,1163,20.8,277745,32.8,228703,32.7
