row_label,All R cases — Number,All R cases — Percent,RC cases — Number,RC cases — Percent,RM cases — Number,RM cases — Percent,RD cases — Number,RD cases — Percent,UD cases — Number,UD cases — Percent
"Total, all",12618,100.0,10000,100.0,827,100.0,1791,100.0,323,100.0
"Certification issued, total",8223,65.1,6979,69.8,335,40.5,909,50.8,152,47.1
Consent — total,371,2.9,296,3.0,16,1.9,57,3.2,16,5.0
Consent — Before notice of hearing,170,1.3,130,1.3,9,1.1,31,1.7,3,0.9
"Consent — After notice of hearing, before hearing closed",201,1.6,166,1.7,7,0.9,26,1.5,13,4.0
Stipulated election — total,6232,49.4,5294,52.9,230,27.8,708,39.5,50,15.5
Stipulated — Before notice of hearing,1544,12.2,1194,11.9,91,11.0,259,14.4,43,13.3
"Stipulated — After notice of hearing, before hearing closed",4669,37.0,4082,40.8,139,16.8,448,25.0,7,2.2
"Stipulated — After hearing closed, before decision",19,0.2,18,0.2,0,0.0,1,0.1,0,0.0
Expedited election — Regional director directed,38,0.3,34,0.3,,,4,,,
Expedited election — Board directed (Regional Director's decision),1584,12.2,1345,13.5,89,10.8,141,7.9,86,26.3
"By withdrawal, total",3278,26.0,2441,24.4,300,36.3,537,30.0,133,41.2
"By dismissal, total",1117,8.9,580,5.8,192,23.2,345,19.3,38,11.7
