row_label,Division and State 2,Total elections,Number of elections in which representation rights were won by / AFL-CIO affiliates,Number of elections in which representation rights were won by / Teamsters,Number of elections in which representation rights were won by / Other national unions,Number of elections in which representation rights were won by / Unaffiliated national unions,Number of elections in which representation rights were won by / Local unaffiliated unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for / AFL-CIO affiliates,Valid votes cast for / Teamsters,Valid votes cast for / Other national unions,Valid votes cast for / Unaffiliated national unions,Valid votes cast for / Local unaffiliated unions,Valid votes cast for / No union,Employees in units chosen representation
South Atlantic (division subtotal),853,325,107,20,13,,386,72152,66127,27113,5387,2214,,3223,28190,39325,
"South Atlantic states (Delaware, Maryland, District of Columbia, Virginia, West Virginia, North Carolina, South Carolina, Georgia, Florida)",,,,,,,,,,,,,,,,,
East South Central (division subtotal),419,154,55,16,2,,182,32550,29527,11371,1632,1477,164,,14712,16179,
"East South Central states (Kentucky, Tennessee, Alabama, Mississippi)",,,,,,,,,,,,,,,,,
West South Central (division subtotal),534,230,53,9,4,,226,40650,36499,15513,2353,318,61,2394,15851,22324,
"West South Central states (Arkansas, Louisiana, Oklahoma, Texas)",,,,,,,,,,,,,,,,,
Mountain (division subtotal),302,113,61,3,,,122,17370,15069,5489,964,2115,332,,6719,10558,
"Mountain states (Montana, Idaho, Wyoming, Colorado, New Mexico, Arizona, Utah, Nevada)",,,,,,,,,,,,,,,,,
Pacific (division subtotal),1045,371,153,64,14,,443,61392,53094,19854,3594,4659,709,,24168,28559,
"Pacific states (Washington, Oregon, California, Alaska, Hawaii)",,,,,,,,,,,,,,,,,
Outlying areas (Puerto Rico + Virgin Islands),131,67,10,7,,,27,11868,9762,3623,,,1445,,1556,5176,
