row_label,col_1,col_2,col_3,col_4,col_5,col_6
"24.... .64 ...,2-gge.g 2,-gs....vm mg ucg 2","""'''"" ,...",F1 .,""" A i g","ti r ""1 "" P : ii 7 4",a,"' .2 :, - - fi °"
31=5 g > 1 S,"8 "" R F; A","Ti f l:, 1 ., o .: rh V",S r . . ;,"I :: A '6 P. § et N V:,",Fj a,4 § § °
t.a§,000000,0,"0,-. /. .71 m '0 74","00.., 0 ,n",".1. ..,",. . .0
,000000,,... 0,"00*,0",N .- ..1,0000 .
,sTi -°Pt9 ° .-..,e .8,R R F. -. en t.-,"8 N = . . 1""- $ trl rO .r ..-. .-. i •",. 2 -• vl C; a,m N -.-. A R S °
,70- -. ° Pr - 2 _.,'A,"gs -, ,z' ,I. . g ', .","il l $ li IF,","` , ,:i N","A ,?, Ps. °"
,N ° * ■ 5 1 ' t ;.■ m,* m,"%::: ' 7. a : m. 2 cn , m","'§ F, is i '4 fa ... ... -7","Fs , v",E ;- . 1 il. °
,"'is "" "" R 4 .4",FS,:1; :i § a,"k ni E '6 6, . - 7 -7.-:","r21 - o00 g ,,..;",v.. c 4 P- 3 c'' •
,,:2,A 0. 2 PI,g r... 7: L:,"A ,9, *",r- 7. r. °
,000000,o,NO.-.,1•1 00•-•00,,000 0
,000000,o,000,o oo-oo,,0000
,-oovoo,"0,",me. r . 1,A ol el e.,so . e g l,"-so .., o"
,"-...,..",".,,","...,..'--","N en cr,",wo a • ..7.,•-• N O V 0
,".,...mam",,"v.,...p. ,",8 -,N -,me...go
,"',X.,12. igies Iz>x g o N 2. v iz. 2.1.1 . 9 5 . 5 .",.. .1 I N g z,a Ili i''Z'a! ;4. . a i Y. 1 ...4- 0 2,".2 o4EN3 3 n.9. ,a0 15.N",4 II E .g CS 1 2 ci,gimt -z : 1 i g 1 c'
