Expenditure category,Amount
Salaries,2000228
Travel,270854
Communications,83610
Reporting,50728
Rent,177414
Furniture and equipment,6677
Supplies and materials,37845
Special and miscellaneous,6244
Transportation of things,1628
Total salaries and expenses,2635228
Printing and binding,231984
Grand total expenditures and obligations,2867212
