Industrial group,Total elections Total,Won by AFL-CIO unions,Won by Teamsters,Won by Other national unions,Won by Other local unions,No representative chosen,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes for unions Total,Valid votes for unions AFL-CIO,Valid votes for unions Teamsters,Valid votes for unions Other national unions,Valid votes for unions Other local unions,Total votes for no union,Total employees in elections showing representation
Ordnance and accessories,25,12,8,2,0,0,13,4805,4406,1727,1332,210,0,18,2672,517
Food and kindred products,535,308,146,127,21,14,226,30710,27054,13062,6478,4231,1978,245,14250,22123
Manufacturing SIC sub-industries (Tobacco / Textile mill / Apparel and other finished products / Lumber and wood products / Furniture and fixtures / Paper and allied products / Printing publishing / Chemicals / Petroleum / Rubber and plastic / Leather / Stone-clay-glass / Primary metal / Fabricated metal / Machinery / Electrical machinery / Aircraft and parts / Ship and boat building / Automotive / Professional scientific instruments / Miscellaneous),,,,,,,,,,,,,,,,
Manufacturing (subtotal),4299,2330,1388,513,104,85,1829,422641,382025,219406,155400,28127,19108,17196,163038,210811
