Method and stage of disposition,All C cases / Number,All C cases / Percent of total closed by method,CA cases / Number,CA cases / Percent of total closed,CB cases / Number,CB cases / Percent of total closed,CC cases / Number,CC cases / Percent of total closed,CD cases / Number,CD cases / Percent of total closed,CE cases / Number,CE cases / Percent of total closed,CG cases / Number,CG cases / Percent of total closed,CP cases / Number,CP cases / Percent of total closed
Total number of cases closed,29938,100.0,19144,100.0,7419,100.0,2101,100.0,606,100.0,557,100.0,28,100.0,133,100.0
Agreement of the parties,6749,22.6,4576,23.9,1031,13.9,915,43.5,144,23.8,24,4.3,6,21.4,53,39.8
Informal settlement,6506,21.8,4466,23.3,973,13.1,856,41.1,,,15,18.6,,,48,37.6
Before issuance of complaint,4960,16.6,3244,17.0,812,10.9,742,35.3,,,15,18.6,12,48.0,35,28.1
"After issuance of complaint, before opening of hearing",1382,4.6,1053,5.5,150,2.0,111,5.4,,,,,2,0.6,30,6.3
"After hearing opened, before issuance of administrative law judge's decision",164,0.5,129,0.7,24,0.3,8,0.4,,,2,0.2,,,,
Formal settlement,243,0.8,110,0.6,58,0.8,57,2.4,,,2,1.8,,,5,2.2
Compliance with administrative law judge's decision,1078,3.6,905,4.7,100,1.3,27,1.3,,,2,1.0,,,5,2.1
