Method and stage of disposition,All R cases Number,All R cases Percent,RC cases Number,RC cases Percent,RM cases Number,RM cases Percent,RD cases Number,RD cases Percent,UD cases Number,UD cases Percent
"Total, all",12409,100.0,10559,100.0,1103,100.0,747,100.0,143,100.0
"Certification issued, total",8050,66.9,7264,68.8,546,48.9,223,29.8,73,51.0
Certification issued,,,,,,,,,,
"By withdrawal, total",3045,24.5,2361,22.4,380,33.3,265,35.5,55,38.5
Withdrawal,,,,,,,,,,
"By dismissal, total",1314,10.6,934,8.8,174,15.8,206,27.6,15,10.5
Dismissal,,,,,,,,,,
