row_label,col_1
5-R-1816,"Abell, A. S., Co."
5-R-2209,Acme Fertilizer Co.
13-R-3436,Acme Industrial Co.
8-R-1985,Aerovent Fan Co.
21-R-2578,"Airsearch Mfg. Co. of Arizona, Inc."
14-R-1297,Alton Box Board Co.
14-R-1260,Alton Box Board Co.
5-R-1967,American Bakeries Co.
10-R-1815,"American Bakeries Co.,"
10-R-1879,American Bakeries Co.
10-R-1578,"American Bakeries Co:, New South Plant."
14-R-1321,American Brake Shoe
14-R-1335,Co. American Brake Shoe Co.
4-R-2000,American Chain & Cable Co.
4-R-2014,American Engineering Co.
4-R-2112,American Insulation Machine Co.
"9-R-1926,",American Laundry Machinery Co.
5-R-2126,American Locomotive Co.
9-R-2068,American Rolling Mills Co.
5-R-2091,"American Silk Mills, Inc."
2-R-6546,"American Steel Chase Co., Inc."
10-R-1691,"Anderson, J. L., Veneer Co."
1-R-2722,Ark Less Switch Co.
10-R-1743,"Armco Drainage & Metal Products, Inc."
9-R-2000,Armour & Co.
9-R-2157,Armour & Co.
10-R-1561,Armour & Co.
10-R-1821,Armour & Co.
13-R4329,Armour & Co. Armour & Co.
15-R-1442 18-R-1429,Armour & Co.
18-R-1456,Armour & Co.
,Atlanta Milling Co.
10-R-1709,Atlantic Co.
5-R-2381,
5-R-2390,Atlantic Co.
5-R-2223,"Atlantic Terminals, Inc. Ayerst McKenna & Harrison; Ltd."
2-R-5932,"Baker Equipment Engineering Co.,"
5-R-2077 11-R-904,Joseph Ball Bros. Co.
11-R-937,Ball Bros. Co.
14-13-1403,Ball Bros. Co.
18-R-1514,Barrett Logging Co.
3-R-1033,Bausch & Lomb Optical Co.
16-R-1504,Bemis Bros. Bag Co.
21-R-3205,"Bennett, Constance Productions, Inc., et al."
1-R-2502,Bethlehem Steel Co.
5-R-2172,"Biggs Antique Co., Inc. Billings & Spencer Co."
1-R-2746,
3-R-1135,"Birge Co., Inc., The."
10-R-1908,Blanton Plow co.
1-W-2902,"Bliss & Laughlin, Inc."
9-R-2125,Bossert Machine Co.
7-R-2242,Bradley Steamship Co.
4-R-2121,Briscoe Mfg. Co.
13-R-3296,Cada Products.
6-R-1368,Cameron
13-R-3360,Mfg. Corp. Carbide & Carbon Chemical
6-R-1376,Corp. Carnegie Illinois Steel Corp.
13-R-3230,"Carnegie Illinois Steel Corp. (Gary Steel Distillery,"
5-R-1997,Carrollton Springs Pure Rye Inc.
13-R-3476 18-R-1472,"Case, J. I., Co"
,"Case, J. I., Co."
