row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Administrative and Support Services........ Waste Management and Remediation,161,114,57,30,27,47,7041,4821,3329,1383,980,966,1492,5206
Services....................................................,103,50,50,0,0,53,5649,5374,2553,2512,41,0,2821,2033
"Administrative and Support, Waste Management and Remediation Services..",264,164,107,30,27,100,12690,10195,5882,3895,1021,966,4313,7239
Educational Services............................,52,35,28,3,4,17,5283,3708,2943,2551,187,205,765,4394
Ambulatory Health Care Services............,69,36,34,0,2,33,9241,6547,4307,4241,0,66,2240,6795
Hospitals....................................................,142,78,57,16,5,64,23987,19485,9963,7401,894,1668,9522,12463
Nursing and Residential Care Facilities....,173,96,85,7,4,77,18732,10471,6159,5732,145,282,4312,8220
Social Assistance......................................,45,26,25,0,1,19,3466,2880,1616,1580,0,36,1264,2192
Health Care and Social Assistance......,429,236,201,23,12,193,55426,39383,22045,18954,1039,2052,17338,29670
"Performing Arts, Spectator Sports and Related Industries......................................",27,17,14,2,1,10,1283,1041,834,334,30,470,207,1110
"Museums, Historical Sites and Similar Institutions................................................",2,1,1,0,0,1,81,61,38,38,0,0,23,49
"Amusement, Gambling and Recreation Industries..................................................",25,10,8,1,1,15,949,812,381,335,0,46,431,380
"Arts, Entertainment and Recreation....",54,28,23,3,2,26,2313,1914,1253,707,30,516,661,1539
Accommodation........................................,53,25,23,1,1,28,2173,1935,925,878,42,5,1010,631
Foodservices and Drinking Places............,33,16,14,1,1,17,1053,890,453,421,11,21,437,470
Accommodation and Foodservices......,86,41,37,2,2,45,3226,2825,1378,1299,53,26,1447,1101
Repair and Maintenance............................,26,15,14,0,1,11,1321,1159,499,496,0,3,660,440
Personal and Laundry Services................,34,17,17,0,0,17,1170,1064,509,509,0,0,555,500
"Religious, Grantmaking, Civic, and Professional and Similar Organizations....",10,8,5,0,3,2,397,335,258,234,0,24,77,393
Other Services (except Public Administration)........................................,70,40,36,0,4,30,2888,2558,1266,1239,0,27,1292,1333
