row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
AFL-CIO,146711,"32,171 7,714",32171,,,,"15,763 3,775","32,100 9,350","32,100 -","- 9,350",,,"66,677 21,207"
Teamsters,42046,,,7714,,,,,,,,,
unions Other national,5805,1130,,,1130,,593,1413,,,1413,,2669
ions Other local u,10092,3117,,,,3117,1116,1905,,,,1905,3954
elections 1-union,204654,44132,32171,7714,1130,3117,21247,44768,32100,9350,1413,1905,94507
AFL-CIO AFL-CIO v,5183,1831,1831,"- 1,469",,,336 206,961 307,961 121,- 186,,,"2,055 587"
Teamsters National AFL-CIO v AFL-CIO v,"3,244 2,523","2,144 1,495",675 731,,764,,221,229,181,,48,,578
Local AFL-CIO v,4300,3547,1732,,,1815,194,170,40,,,130,389
,,,,,,,,,,,,,
gational Teamsters v,376,266,,147,119,,1,23,,11,12,,86
_ocal Teamsters v,562,386 0,,277 0,,109 -,26,23,,2,,21 -,127 60
feamsters Teamsters v,93,,,,,,0,33,,33,,0,
)cal National v,230,200,,,69,131,0,10,,,10,,20
1 Local v,1905,1693,,,,1693,89,31,,,,31,92
elections 2-union,18416,11562,4969,1893,952,3748,1073,1787,1303,232,70,182,3994
AFL-CIO v Teamsters AFL-CIO v,857,1(8),95,5,,,19,185,9,176,,,553
Teamsters v Local Local v Local AFL-CIO v AFL-CIO v,49 140,43 138,0 3,0 -,,43 135,6 2,0 0,0 0,0 -,,0 0,0 0
ore)-union elections 3 (or,1046,281,98,5,0,178,27,185,9,176,0,0,553
,,,,9612,2082,7043,,,,,1483,2087,99054
presentation elections Total r,224116,55975,37238,,,,22347,46740,33412,9758,,,
