Division and State,All cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union-shop authorization cases
East North Central — total,6036,804,122,30,12,1662,92,96,3218
Ohio,1018,216,27,6,1,501,18,24,725
Indiana,835,120,21,6,1,231,22,10,422
Illinois,1735,224,42,12,5,452,26,37,937
Michigan,1946,199,23,4,5,323,8,12,1712
Wisconsin,601,43,9,2,,155,18,13,422
West North Central — total,2895,300,22,9,5,852,45,22,1553
Iowa,194,31,0,0,0,96,4,2,67
Minnesota,536,29,4,1,1,131,8,8,354
Missouri,1747,209,18,8,3,462,18,10,1019
North Dakota,20,0,0,0,0,9,4,0,7
South Dakota,12,0,0,0,0,11,1,0,0
Nebraska,109,23,0,0,0,48,4,1,33
Kansas,279,36,0,0,0,104,1,1,73
South Atlantic — total,1666,462,48,15,1,565,35,43,497
East South Central — total,903,210,26,13,0,379,12,20,243
West South Central — total,1157,315,31,18,6,458,20,29,280
Mountain — total,981,109,18,19,2,305,25,6,497
Pacific — total,4587,594,212,56,20,1090,112,76,2427
Outlying areas — total,349,127,21,3,1,93,4,2,
Nation-wide,,,,,,,,,
