row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
National v. National..........................,1,100.0,1,,1,,0,14,14,,14,,0
AFL-CIO v. AFL-CIO......................,73,72.6,53,53,,,20,7201,3891,3891,,,3310
2-union elections..........................,147,78.2,115,86,14,15,32,21418,10579,7579,1634,1366,10839
AFL-CIO v. Local v. Local..............,1,100.0,1,0,,1,0,46,46,0,,46,0
Local v. Local v. Local......................,1,100.0,1,,,1,0,94,94,,,94,0
AFL-CIO v. AFL-CIO v. AFL-CIO..,2,50.0,1,1,,,1,131,92,92,,,39
3 (or more)-union elections..........,4,75.0,3,1,0,2,1,271,232,92,0,140,39
Total RC elections........................,2957,52.0,1538,1378,79,81,1419,234111,106459,93659,5881,6919,127652
C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases
AFL-CIO,23,26.1,6,6,,,17,824,100,100,,,724
Other local unions..............................,2,0.0,0,,,0,2,8,0,,,0,8
Other national unions........................,2,50.0,1,,1,,1,507,393,,393,,114
1-union elections..........................,27,25.9,7,6,1,0,20,1339,493,100,393,0,846
AFL-CIO v. AFL-CIO......................,4,100.0,4,4,,,0,407,407,407,,,0
2-union elections..........................,4,100.0,4,4,0,0,0,407,407,407,0,0,0
Total RMelections........................,31,35.5,11,10,1,0,20,1746,900,507,393,0,846
D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases
AFL-CIO,345,36.8,127,127,,,218,19841,12562,12562,,,7279
Other local unions..............................,12,25.0,3,,,3,9,1519,134,,,134,1385
Other national unions........................,15,13.3,2,,2,,13,885,282,,282,,603
1-union elections..........................,372,35.5,132,127,2,3,240,22245,12978,12562,282,134,9267
National v. National..........................,1,100.0,1,,1,,0,93,93,,93,,0
AFL-CIO v. AFL-CIO......................,5,60.0,3,3,,,2,324,95,95,,,229
2-union elections..........................,6,66.7,4,3,1,0,2,417,188,95,93,0,229
AFL-CIO v. AFL-CIO v. AFL-CIO..,2,0.0,0,0,,,2,1015,0,0,,,1015
