Standard Federal Region / State,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Representation cases — UD,Representation cases — AC,Representation cases — UC
Region IV (total — Southeast: AL/FL/GA/KY/MS/NC/SC/TN),4303,3614,2733,,,,,,,659,550,20,89,,,
Region V (total — Midwest: IL/IN/MI/MN/OH/WI),10058,7973,,,,,,,,1922,1490,80,333,,,78
Region VI (total — South Central: AR/LA/NM/OK/TX),1851,1536,,,,,,,,322,228,8,56,,,
Region VII (total — IA/KS/MO/NE),2066,1773,,,,,,,,,,,,,,
