Division and State,All cases,All C cases,CA cases,CB cases,CC cases,CD cases,CE cases,CP cases,All R cases,RC cases,RM cases,RD cases,UD cases,AC cases,UC cases
Florida (South Atlantic continuation),552,,,,,,,,,,,,,,
East South Central,1768,1007,773,112,82,,,,706,627,,,,,
West South Central,1400,1028,777,115,85,39,2,10,479,,,,,,
Mountain,900,626,468,61,65,22,2,8,274,,,,,,
Pacific,5096,3031,1937,595,279,117,9,94,2065,,,,,,
Outlying areas,534,248,180,50,16,0,0,2,286,,,,,,
