Industrial group,Total elections,Elections won by unions Total,AFL-CIO,Teamsters,Other national,Other local,Other(?),col_8,Total eligible,Total valid votes cast,Votes for unions Total,AFL-CIO,Teamsters,Other national,Other local,Votes for no union,Employees in elections in which rep chosen
Miscellaneous manufacturing industries,124,74,48,16,7,3,,50,9892,8917,4760,3662,627,258,203,4157,5671
Mining (subtotal),78,49,31,6,11,1,,29,5859,5303,3709,2350,324,808,227,1318,4379
"Mining sub-industries (Metal mining, Coal mining, Crude petroleum and natural gas, Nonmetallic mining and quarrying)",,,,,,,,,,,,,,,,,
Construction,211,147,110,20,10,10,,65,2384,2182,1608,1152,230,146,82,574,1752
Wholesale and retail trade (subtotal),959,527,374,131,16,6,,432,32068,29179,18403,11535,5230,167,459,8209,8747
"Wholesale/Retail sub-industries (Wholesale trade, Retail trade)",,,,,,,,,,,,,,,,,
"Finance, insurance, and real estate",71,50,40,9,1,,,21,3772,3175,1705,1439,151,115,,846,1747
"Transportation, communication, and other public utilities (subtotal)",649,477,190,202,18,7,1,172,31372,14819,8709,4887,710,547,6553,17712,
"Transportation sub-industries (Local & suburban, Motor freight/warehousing, Water transp, Other transp, Communications, Heat/light/power/water/sanitary)",,,,,,,,,,,,,,,,,
Services (subtotal),810,580,411,104,33,16,,170,18530,16104,9602,6542,1277,1246,537,7454,9327
"Services sub-industries (Hotels, Personal services, Auto repair/garage, Motion pictures, Medical/health, Legal, Nonprofit membership, etc.)",,,,,,,,,,,,,,,,,
