Circuit court of appeals (headquarters),Total Fiscal Year 1993,Total Cumulative 1988-1992,Affirmed in full — Fiscal Year 1993 Number,Affirmed in full — Fiscal Year 1993 Percent,Affirmed in full — Cumulative 1988-92 Percent,Modified — Fiscal Year 1993 Number,Modified — Fiscal Year 1993 Percent,Modified — Cumulative 1988-92 Percent,Remanded to Board — Fiscal Year 1993 Number,Remanded — Fiscal Year 1993 Percent,Remanded — Cumulative 1988-92 Percent,Partially affirmed and partially remanded — FY1993 Number,Partially — Percent,Partially — Cumulative 1988-92 Percent,Set aside — FY1993 Number,Set aside — FY1993 Percent,Set aside — Cumulative 1988-92 Percent
Total all circuits,179,846,140,78.2,76.4,14,7.8,6.0,10,5.6,4.7,5,2.8,3.2,10,5.6,9.7
"New York, NY (2nd Circuit)",13,95,11,84.6,58.9,1,7.7,9.5,1,7.7,5.3,0,0,6.3,0,0,20.0
"Washington, DC (DC Circuit)",13,94,10,76.9,30.9,1,7.7,2.1,4,30.8,1.1,1,7.7,3.2,1,7.7,56.4
