row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
A. By number of cases in- volved .,211286,,,,,,,,,,,,
,3396,2496,1801,135,15,371,174,900,542,200,1,73,84
Recognition or other assist- ance withdrawn .... . .....,51,51,31,1,0,13,6,,,,,,
Employer-dominated union disestablished . .,21,21,14,I,0,4,2,,,,,,
Employees offered reinstate-,1293,1293,860,116,16,209,92,,,,,,
Employees placed on pref- erential hiring list ..........,453,453,297,46,7,72,31,,,,,,
Hiring hall nghts restored ...,58,,,,,,,58,29,6,0,17,6
Objections to employment,49,,,,,,,49,25,6,o,12,6
Picketing ended,193,,,,,,,193,163,25,o,3,2
Work stoppage ended .........,68,,,,,_,,68,41,27,o,0,0
Collective bargaining begun,3470,3269,2948,64,30,141,86,201,195,1,o,5,0
Backpay distributed . . .,2682,2514,2078,98,16,232,90,168,120,9,o,28,11
"Reimbursement of fees, dues, and fines .. . . • •",709,597,411,50,6,100,30,112,79,7,1,18,7
Other conditions of employ- ment improved .. ... .,0,0,0,0,0,0,0,0,o,0,o,0,0
,0,0,0,0,0,o,o,0,0,o,0,o,0
