row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections,2343,201,8 6,69,2 9,26,1.1,227,9 7,95,4 0
"By type of case,",,,,,,,,,,,
In RC cases_,2076,190,9 2,64,3 1,23,1 1,213,10.3,87,4 2
In RM cases,90,4,4.4,2,2 2,2,2 2,6,6 6,4,4 4
In RD cases,177,7,40,3,17,1,06,8,46,4,23
"By type of election,",,,,,,,,,,,
Consent elections,234,9,3 8,5,2.1,o,,9,3 8,5,2 1
Stipulated elections,1633,132,8 1,40,2 4,14,0 9,146,9 0,54,3 3
Expedited elections,11,0,0,0,0,0,,0,,o,
Regional director-directed elections,446,60,13 5,17,3.8,12,2 7,72,16 2,29,6 5
Board-directed elections,19,0,,7,36 8,0,,0,,7,36 8
