Expense category,Amount
Salaries,2239503
Travel expenses,322022
Communications,88302
Rental and utility services,72592
Other contractual services,57661
Equipment,21383
Supplies and materials,45472
Transportation of things,1896
Total salaries and expenses,2848831
Printing and binding,220444
Grand total expenditures and obligations,3069275
