Stage of disposition,All R cases / Number of cases closed,All R cases / Percent of cases closed,RC cases / Number of cases closed,RC cases / Percent of cases closed,RM cases / Number of cases closed,RM cases / Percent of cases closed,RD cases / Number of cases closed,RD cases / Percent of cases closed,UD cases / Number of cases closed,UD cases / Percent of cases closed
Total number of cases closed,11797,100.0,10082,100.0,1116,100.0,599,100.0,95,100.0
Before issuance of notice of hearing,6047,51.2,4376,48.4,778,69.7,393,65.6,94,98.9
"After issuance of notice of hearing, before close of hearing",3582,30.4,3253,32.3,210,18.8,119,19.9,0,0
"After hearing closed, before issuance of decision",107,.9,95,.9,8,.7,4,.7,0,0
After issuance of regional director's decision,1885,16.0,1710,16.9,97,8.7,78,13.0,0,0
After issuance of Board decision,176,1.5,148,1.5,22,2.0,4,.7,1,1.1
