row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
All types,4001,92,114,3795,3483,91,103,3289,Si,0,1,50,467,1,10,456
Rerun required Runoff required,,,97 17,,,,87 16,,,,1 0,,,,9 1,
Consent elections,17,,0,• 16,14,1,0,13,1,0,0,1,2,0,0,2
Rerunrequired,,,0 0,,,,0 0,,,,0,,,,0,
• Runoff required Stipulated elections,"--- . 3,396",---- 71,90,3235,"--- 2,925",- 71,81,"-- 2,773",---- 41,---- 0,0 I,40,430,0,8,422
Rerun required Runoff required,,,75 15,,,,67 14,,,,1 0,,,,7 1,"--- --- ,"
Regional Director-directed,578,20,24,534,536,19,22,495,7,0,0,7,35,1,2,32
Rerun iequired Runoff required,,,22 2,,,,20 2,,,,20 0,,,,2,
Board-directed,8,0,0,8,8,0,'0,8,0,0,0,0,0,0,0,0
Rerun required Runoff required,,,0 0,,,,0 0,,,,0 o,,,,0 o,
Expedited-Sec 8(6)(7)(C),2,0,0,2,0,0,0,0,2,0,o,2,0,0,0,0
Rerun required,,,0,,,,0,,,,0,,,,0,
Runoff required,,,0,,,,0,,,,o,,,,0,
