Remedy / outcome,Total,Identification of complainant / A. F. of L. affiliates,Identification of complainant / C. I. O. affiliates,Identification of complainant / Unaffiliated unions,Identification of complainant / Individuals
Cases — Notice posted,736,268,353,83,32
Cases — Company union disestablished,105,50,43,10,2
Cases — Workers placed on preferential hiring list,70,19,39,7,5
Cases — Collective bargaining begun,136,72,45,19,0
Workers — Workers reinstated to remedy discriminatory discharge,2972,949,1540,406,77
Workers — Workers receiving back pay,3734,891,2357,355,131
Workers — Back-pay awards,1916173,315130,1483963,46720,70360
Workers — Strikers reinstated,350,350,0,0,0
