Division and State,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
"Per-state rows for New England states (Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut)",,,,,,,,,,,,,,,
New England,1365,662,455,157,21,14,2,26,589,528,30,31,16,9,29
"Per-state rows for Middle Atlantic states (New York, New Jersey, Pennsylvania)",,,,,,,,,,,,,,,
Middle Atlantic,5587,2633,1914,950,209,135,5,110,2661,1759,131,173,59,43,118
"Per-state rows for East North Central states (Ohio, Indiana, Illinois, Michigan, Wisconsin)",,,,,,,,,,,,,,,
East North Central,7203,4528,2907,1166,296,148,6,2617,2122,215,180,42,45,71,
"Per-state rows for West North Central states (Iowa, Minnesota, Missouri, North Dakota, South Dakota, Nebraska, Kansas)",,,,,,,,,,,,,,,
West North Central,2468,1364,944,240,87,51,6,36,1065,909,90,66,12,8,19
"Per-state rows for South Atlantic states begin (Delaware, Maryland, ...)",,,,,,,,,,,,,,,
