Case No.,Companies and unions involved,Election date,Eligible voters,Votes in favor of accepting final offer,Votes against accepting final offer
I.,Oak Ridge Maintenance Employees Dispute:,,,,
10-X-1,"Oak Ridge National Laboratory, Division of Carbide and Carbon Chemicals Corp., Oak Ridge, Tenn., and Atomic Trades & Labor Council (AFL)","June 2, 1948",877,106,771
II.,Labor Disputes in the Maritime Industry of the United States:,,,,
2-X-1,"Atlantic and Gulf Coast companies, unlicensed personnel, and National Maritime Union (CIO), National Maritime Engineers' Beneficial Association (CIO), and American Radio Association (CIO)",,,,
8-X-1,"International Harvester Co., Wisconsin Steel Division and National Maritime Union (CIO); Lake Tankers, Cleveland Tankers, Great Lakes Towing Co.; Johnson Transportation Co.; Ford Motor Co.; Interlake Steamship Co.; Inland Steel Co.; Bethlehem Transportation Corp.; and International Longshoremen's Union (CIO)",,61,25,0
20-X-1,"Waterfront Employers Association, et al (Pacific Coast), and International Longshoremen's and Warehousemen's Union (CIO)","Aug. 30-31, 1948",26965,,
"Pacific American Shipowners Association, et al",,"Aug. 18-Oct. 15, 1948",,,
Employers represented by National Federation Beneficial Association (CIO),,,,,
Offshore,,,1528,189,199
Coastwise,,,17,14,1
"Employers represented by Pacific Coast Marine Firemen, Oilers (CIO)",,,,,
Offshore,,,3115,41,326
Coastwise,,,23,7,7
Employees represented by Marine Cooks and Stewards Union (CIO),,,,,
Offshore,,,4007,41,121
Coastwise,,,22,,
III.,Atlantic Coast Longshoremen's Dispute:,,,,
X-X-2,"Maritime Industry on the Atlantic Coast, and International Longshoremen's Association (AFL)",,,,
"Penn Water Steamship Lines and Contracting Stevedores, Portland, Maine",,"Nov. 5, 1948",,,
Longshoremen,,,400,22,139
Checkers,,,30,2,18
"Boston Shipping Association, Inc.",,,,,
Longshoremen,,do.,2975,42,1108
Checkers,,do.,109,5,102
New York Shipping Association,,do.,,,
Longshoremen,,,12654,668,10632
Checkers,,,1605,138,1364
Clerks,,,480,16,305
Cargo Repairmen,,,130,4,80
