row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
■O '',ft,,,CO 0-•,S4 R,i M g nal,,tin,,MU,g,".., 1-, g 3 . -.."
t,"...,",A,. E,A g ra,g,"r7,53SHAE",R,-!- .... n58,R,L--tn;-2 mo-,-on 5,RH
Co m,".,, -",- .-.C1,p i,".. ....-0,-.4 mRAtIRS",Ig 2,g ittiR§E.,2:4 t,4- ...ni,.. --4 g,".coRcn 1-- , ,.. na",CO - i 0,M
. .,v,... c.,_ -.,,a OD,".. ... ....1.+W 7:2a0g MCI,.",E,N Li g E g,n,tithe,E,'E'
N,C.,00,,A.... 088ER8,8,g t.c.8.4.V,,co.....,,..ww mw-4.,.... 0,
W 8,,o.,A,o.-...-.84.R,Co m,"4-......,-. 0",CD .,80...,5,"ow.,",t,"-3,0"
k,,oo,8,"W 000,N.,",",",.....0000,",",..ANO,0,0000,CO,.-.00
E,,0..,,000 -0,,00.-.00000,0,0000,0,0000,CO,.-.00
E,,.-.0,N 8,1-. .-• ..1 1 - • 0.. 0000 CO,CO CD,50 r ZIA N.- . Nal,CO,"ON,-,0",Q,...5coro,V,",-,.0"
"8 -4, 8",R,,,"-6E1P,UP",V,"8,5,5.4,. .0-....-.",8 .,nEig,,,.-. .-. n,gRt
R,,A,S,-.12ARR,,%as g ts,. q,Lint,N,tl 'iFIE,,5AR
", R",a,..c.c,,"..R ow,,48",4c .,",...8.--...",R,8.c...,co m,"w,r--.:=",w .,.80
•-. CO,S.,"W,",,Wz OcAZ.°:RO,aS,", o- . m M 0,0--Mnmm,","0"" w",FA2R8,,w5RR,g,CO RR
w 0 .-.,",","0,",K,..-..-. 0000.-.4.,,00000000,.14,00000,",","000,","GT,",000
", N",",..",0..,,00.-.0N...,N,CC'-' 0000,8,..-..0,,occ.c...,,NWO
,CC,0 CO,",-s a","0,00,011",,"....w0,0,00.-..",N 0,... aWW0,N .,"o... ..-4.,N",W W,",WN"
