Industrial groups,Elections and cross-check / Number,Elections and cross-check / Percent,Winner / A. F. of L. / Number,Winner / A. F. of L. / Percent,Winner / C. I. O. / Number,Winner / C. I. O. / Percent,Winner / Unaffiliated / Number,Winner / Unaffiliated / Percent,Winner / No union / Number,Winner / No union / Percent,Eligible votes in all elections and cross-checks / Number,Eligible votes in all elections and cross-checks / Percent,Valid votes cast in all elections and cross-checks / Number,Valid votes cast in all elections and cross-checks / Percent
Total,5589,100.0,2004,35.9,1958,37.8,484,8.7,1143,20.4,846431,100.0,698812,100.0
Manufacturing,4393,78.4,1628,37.1,1795,40.9,392,8.9,678,15.4,,83.0,,84.5
Transportation equipment,264,4.7,84,31.8,100,37.9,18,6.8,62,23.5,,,,
Mining,193,3.5,48,24.6,80,41.4,36,18.5,41,21.2,,,,
