Method and stage of disposition,All C cases — Number,All C cases — Percent of total closed,All C cases — Percent of total method,CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CG cases — Number,CG cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
By circuit court of appeals decree,15,0.0,0.1,12,0.0,3,0.0,0,0,0,0,0,0,0,0,0,0
By Supreme Court action,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10(k) actions (see Table 7A for details of dispositions),178,0.5,,,,,,,,178,97.2,,,,,,
Otherwise (compliance with order of administrative law judge or Board not achieved—firm went out of business),209,0.6,,206,0.8,3,0.0,0,0,0,0,0,0,0,0,0,0
