Stage,Total number of workers involved,Party filing / A. F. of L. affiliate,Party filing / C. I. O. affiliate,Party filing / Unaffiliated union,Party filing / Individual or employer
Workers involved in unfair labor practice cases,,,,,
"Cases pending July 1, 1941",1601809,301071,1096400,90079,114784
Cases received July 1941-June 1942,3296852,819674,1428824,540788,509138
Cases on docket July 1941-June 1942,4898661,1120745,2525224,630867,623922
Cases closed July 1941-June 1942,2890345,736923,1291831,431412,432304
"Cases pending June 30, 1942",2008316,383822,1233393,199455,191718
Workers involved in representation cases,,,,,
"Cases pending July 1, 1941",732101,161515,371169,90023,109394
Cases received July 1941-June 1942,1901998,561029,1131635,190369,19288
Cases on docket July 1941-June 1942,2634099,722544,1502804,280392,128682
Cases closed July 1941-June 1942,1895231,519179,1035328,214305,126742
"Cases pending June 30, 1942",738868,203365,467476,66087,1940
