Stage of disposition,All R cases — Number of cases,All R cases — Percent of cases closed,RC cases — Number of cases,RC cases — Percent of cases closed,RM cases — Number of cases,RM cases — Percent of cases closed,RD cases — Number of cases,RD cases — Percent of cases closed,UD cases — Number of cases,UD cases — Percent of cases closed
Total number of cases closed,7808,100.0,5209,100.0,718,100.0,1881,100.0,231,100.0
Before issuance of notice of hearing,1549,19.8,702,13.5,264,36.7,583,31.0,132,57.2
"After issuance of notice, before close of hearing",5251,67.2,3761,72.2,364,50.7,1126,59.8,73,31.6
"After hearing closed, before issuance of decision",39,0.5,30,0.6,2,,7,0.4,0,0
After issuance of regional director's decision,918,11.8,676,13.0,86,12.0,156,8.3,0,0
After issuance of Board decision,51,0.7,40,0.7,2,,9,0.5,0,0
