Type of election,All R elections / Elections conducted / Total elections,All R elections / Elections conducted / Withdrawn or dismissed before certification,All R elections / Elections conducted / Resulting in a rerun or runoff,All R elections / Elections conducted / Resulting in certification,RC elections / Elections conducted / Total elections,RC elections / Elections conducted / Withdrawn or dismissed before certification,RC elections / Elections conducted / Resulting in a rerun or runoff,RC elections / Elections conducted / Resulting in certification,RM elections / Elections conducted / Total elections,RM elections / Elections conducted / Withdrawn or dismissed before certification,RM elections / Elections conducted / Resulting in a rerun or runoff,RM elections / Elections conducted / Resulting in certification,RD elections / Elections conducted / Total elections,RD elections / Elections conducted / Withdrawn or dismissed before certification,RD elections / Elections conducted / Resulting in a rerun or runoff,RD elections / Elections conducted / Resulting in certification
All types,8899,60,201,8638,7882,56,188,7738,300,1,8,291,617,1,5,611
Rerun required,,,151,,,,142,,,,6,,,,3,
Runoff required,,,50,,,,46,,,,2,,,,2,
Consent elections,903,2,19,882,797,2,18,777,28,,1,27,78,,,78
Rerun required,,,17,,,,16,,,,1,,,,,
Runoff required,,,2,,,,2,,,,,,,,,
Stipulated elections,6228,44,127,6057,5591,42,119,5430,183,,4,179,454,1,4,449
Rerun required,,,98,,,,87,,,,4,,,,2,
Runoff required,,,34,,,,32,,,,,,,,2,
Regional director-directed,1614,13,48,1554,1474,12,45,1417,58,,2,56,82,,1,81
Rerun required,,,35,,,,33,,,,1,,,,1,
Runoff required,,,13,,,,12,,,,1,,,,,
Board-directed,125,2,6,117,116,,6,108,6,,,6,3,,,3
Expedited (Sec. 8(b)(7)(C)),29,,1,28,,,,,,,,,,,,
