row_label,Total elections,Number of elections in which representative was won by unions / Total,Number of elections in which representative was won by unions / AFL-CIO unions,Number of elections in which representative was won by unions / Teamsters,Number of elections in which representative was won by unions / Other national unions,Number of elections in which representative was won by unions / Other local unions,Number of elections in which no representative was chosen,Number employees eligible to vote,Total valid votes cast,Valid votes cast for union / Total,Valid votes cast for union / AFL-CIO unions,Valid votes cast for union / Teamsters,Valid votes cast for union / Other national unions,Valid votes cast for union / Other local unions,Eligible employees in elections in which no representative chosen
South Atlantic (division total),812,325,200,97,15,7,487,60936,54074,23587,17273,5079,1393,802,29510
East South Central (division total),430,203,127,49,20,4,227,41482,37489,17701,12720,3260,1358,388,20148
West South Central (division total),466,219,143,53,12,11,247,41397,36889,17044,10996,2905,1811,1332,19845
Mountain (division total),405,199,124,52,9,14,206,18227,16002,7481,5299,1575,234,370,8521
Pacific (division total),1557,721,415,237,33,36,836,63196,55042,26052,16129,7156,2143,2065,29425
Outlying Areas (division total),114,68,32,21,7,8,46,8318,7694,4200,2067,1171,619,1723,4249
All States and areas (grand total),8240,3791,2178,1105,256,252,4449,471859,417563,199283,118811,38710,22062,19700,208243
