Case No.,Union and company,Date petition for injunction filed,Type of petition,Date TRO issued,Date TRO lifted,Date temporary injunction granted,Date injunction denied,Date proceedings withdrawn or dismissed,Date Board decision and/or order
"14-CC-91, 92, 14-CD-50, 44","AFL-Plumbers, Building and Construction and Metal Trades Division, Local 562 (St. Louis County Water Co)","Feb. 27, 1956",10 (l),,,,,,"Sept. 14, 1956, as to CD case only."
"17-CC-43, 44","AFL-Teamsters, and Local 654 (Clark Trade Wholesale Co)","Feb. 28, 1956",10 (l),,,"July 20, 1956",,,"Dec. 26, 1956"
14-CC-93,"AFL-Teamsters, Local 688 (Coca-Cola Bottling Co. of St. Louis)","Feb. 28, 1956",10 (l) (E D Mo),,,,,"Aug. 21, 1956","June 8, 1956"
36-CC-48,"AFL-Teamsters, Local 162 and Joint Council No 37 (A.F. Lowes Lumber Co)","Mar. 26, 1956",10 (l) (W D Wash),,,"May 1, 1956",,,"June 7, 1956"
Additional case rows present,,,,,,,,,
