row_label,Status / Period,Number of cases / Total,Number of cases / Identification of complainant or petitioner / A.F.L. affiliates,Number of cases / Identification of complainant or petitioner / C.I.O. affiliates,Number of cases / Identification of complainant or petitioner / Unaffiliated unions,Number of cases / Identification of complainant or petitioner / Individuals,Number of cases / Identification of complainant or petitioner / Employers
All cases,,,,,,,
"Pending July 1, 1953",4289,1867,1048,236,889,249,
"Received July 1, 1953-June 30, 1954",14094,6662,2712,889,2689,1142,
"On docket July 1, 1953-June 30, 1954",18383,8529,3760,1125,3578,1391,
"Closed July 1, 1953-June 30, 1954",13989,6683,2949,855,2451,1051,
"Pending June 30, 1954",4394,1846,811,270,1127,340,
Unfair labor practice cases,,,,,,,
"Pending July 1, 1953",2669,938,635,130,802,164,
"Received July 1, 1953-June 30, 1954",5965,2042,926,275,2147,575,
"On docket July 1, 1953-June 30, 1954",8634,2980,1561,405,2949,739,
"Closed July 1, 1953-June 30, 1954",5962,2118,1117,289,1933,505,
"Pending June 30, 1954",2672,862,444,116,1016,234,
Representation cases,,,,,,,
"Pending July 1, 1953",1614,929,412,106,82,85,
"Received July 1, 1953-June 30, 1954",8076,4620,1786,613,489,568,
"On docket July 1, 1953-June 30, 1954",9690,5549,2198,719,571,653,
"Closed July 1, 1953-June 30, 1954",7975,4565,1831,565,468,546,
"Pending June 30, 1954",1715,984,367,154,103,107,
Union-shop deauthorization cases,,,,,,,
"Pending July 1, 1953",6,0,1,0,5,,
"Received July 1, 1953-June 30, 1954",53,0,0,1,52,,
"On docket July 1, 1953-June 30, 1954",59,0,1,1,57,,
"Closed July 1, 1953-June 30, 1954",52,0,1,1,50,,
"Pending June 30, 1954",7,0,0,0,7,,
