row_label,col_1,col_2
,Salaries,9825499
,Travel,741071
Transportation of things,Transportation of things,65168
Communication services,Communication services,313470
Rents and utility services,Rents and utility services,73644
Printing and reproduction,Printing and reproduction,241716
Other contractual services,Other contractual services,397820
Supplies and materials,Supplies and materials,126401
Equipment,Equipment,306828
"Grants, subsidies, and contributions","Grants, subsidies, and contributions",524048
"Refunds, awards, and indemnities","Refunds, awards, and indemnities",7688
Taxes and assessments,Taxes and assessments,31731
,,12655084
