Division and State,Number of elections / Total,Number of elections / In which representation rights were won by — A.F.L. affiliates,Number of elections / In which representation rights were won by — C.I.O. affiliates,Number of elections / In which representation rights were won by — Unaffiliated unions,Number of elections / In which no representative was chosen,Employees eligible to vote,Total valid votes cast,Valid votes cast for— / A.F.L. affiliates,Valid votes cast for— / C.I.O. affiliates,Valid votes cast for— / Unaffiliated unions,Valid votes cast for— / No union,Employees in units choosing representation
Total,4215,1721,804,324,1366,515995,453442,138636,123320,73437,118049,378962
New England,325,104,104,24,93,40968,37098,9471,12571,3973,11143,29090
Maine,13,3,1,2,7,1378,1232,158,263,176,630,397
New Hampshire,17,6,6,1,4,2803,2491,422,802,113,911,1565
Vermont,8,6,0,0,2,530,307,276,,,,
Massachusetts,154,50,53,8,43,18365,16562,4500,5341,1910,4711,9810
Rhode Island,32,11,13,5,3,1841,1681,240,1196,232,235,1250
Connecticut,101,28,31,8,34,12145,11066,3875,4909,1442,4656,8068
Middle Atlantic,823,390,165,97,169,143764,121747,33150,36452,16553,34453,105995
New York,355,168,81,42,94,53599,45353,22128,18250,7283,18815,36442
New Jersey,235,94,49,24,43,39512,32964,6371,8891,4975,7952,25012
Pennsylvania,233,78,56,23,32,50653,43430,6151,9311,4295,7686,44541
East North Central,1018,362,233,70,353,121696,99239,30323,34273,19432,25370,92233
Ohio,291,95,72,17,95,32975,30191,6712,13015,1608,5748,27322
Indiana,121,53,32,6,30,17840,15193,4872,5135,2062,3123,13322
Illinois,285,101,51,26,87,47615,41250,14236,13257,11108,7649,31872
Michigan,230,64,47,16,103,18943,16651,4706,5165,1478,5310,11221
Wisconsin,91,32,27,3,28,6727,5985,2898,1759,1712,1152,4802
West North Central,290,91,57,27,121,31191,27134,11138,5491,2234,7256,19034
Iowa,45,19,8,3,15,3959,3594,1281,1129,142,1043,2556
Minnesota,134,30,28,14,62,14572,12889,3124,1051,1140,4338,7361
Missouri,169,30,14,8,33,7159,6180,1815,2239,252,1652,4856
North Dakota,4,0,0,0,4,,,0,0,0,,0
South Dakota,16,3,7,5,1,1461,1346,192,528,219,386,1038
Nebraska,21,4,11,3,3,1759,1560,661,749,7,138,1406
Kansas,21,5,4,0,12,4541,4453,3031,591,0,832,1840
