Affiliation of union holding union-shop contract,Number of polls Total,Number of polls Resulting in deauthorization Number,Number of polls Resulting in deauthorization Percent of total,Number of polls Resulting in continued authorization Number,Number of polls Resulting in continued authorization Percent of total,Employees involved Total eligible,Employees in polls Resulting in deauthorization Number,Employees in polls Resulting in deauthorization Percent of total,Employees in polls Resulting in continued authorization Number,Employees in polls Resulting in continued authorization Percent of total,Valid votes cast Total,Valid votes cast Percent of total eligible,Valid votes cast Cast for deauthorization Number,Valid votes cast Cast for deauthorization Percent of total eligible
Total,74,40,54.1,34,45.9,4008,1846,46.1,2162,53.9,2766,69.0,1426,35.6
AFL-CIO unions,54,29,53.7,25,46.3,2944,1431,48.6,1513,51.4,1870,63.5,1070,36.3
Teamsters,16,10,62.5,6,37.5,584,402,68.8,132,24.7,466,87.5,345,64.6
Other national unions,2,1,50.0,1,50.0,69,13,18.8,56,81.2,37,55.5,11,15.9
Other local unions,2,0,,2,100.0,460,0,,461,100.0,391,84.8,0,
