Industrial group 1,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Representation cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,RD
Total,21847,11357,7723,2305,641,186,26,273,10193,8795,728,607
Manufacturing,11014,5199,4009,878,183,22,10,97,5815,5098,377,381
Ordnance and accessories,35,19,11,6,2,0,0,0,16,15,1,0
Food and kindred products,1650,738,329,156,26,6,0,9,912,807,62,43
Tobacco manufactures,24,10,3,8,2,0,0,0,14,13,1,1
Additional Manufacturing + non-manufacturing SIC rows,,,,,,,,,,,,
"Agriculture, forestry, and fisheries",23,8,5,1,0,0,0,2,15,13,1,1
Mining,357,256,150,90,8,2,0,6,101,87,9,5
